,source,nutrient,nutrient_conversion,new_nutrient,nutrient_units,units_conversion,nutrient_type,nutrient_desc,relevance
38,AFCD,Serine,,Serine,mg,,Protein,Serine includes only L-serine,
39,AFCD,Taurine,,Taurine,mg,,Protein,Taurine,
40,AFCD,Threonine,,Threonine,mg,mg,Protein,Threonine includes only L-threonine,2
41,AFCD,Tryptophan,,Tryptophan,mg,mg,Protein,Includes only L-tryptophan.,2
42,AFCD,Tyrosine,,Tyrosine,mg,,Protein,Includes only L-tyrosine,
43,AFCD,Valine,,Valine,mg,mg,Protein,Includes only L-valine,2
44,AFCD,"Total amino acids, sulfur-containing",,"Total amino acids, sulfur-containing",mg,,Protein,"Total amino acids, sulfur-containing",
45,AFCD,"Nitrogen, nonprotein",,"Nitrogen, nonprotein",g,,Protein,Non-protein nitrogen,
46,AFCD,"Nitrogen, total",,"Nitrogen, total",g,,Protein,Nitrogen total,
47,AFCD,"Protein, total; calculated from total nitrogen",Protein,Protein,g,g,Protein,Total protein calculated from nitrogen,2
48,AFCD,"Protein, total; unknown/variable methods",,"Protein, total; unknown/variable methods",g,,Protein,Protein calculated from unknown/variable method,
49,AFCD,"Fat, total",Fat,Fat,g,,Fatty acid,"Fat, total. Synonym total lipids. Sum of triglycerides, phospholipids, sterols and related compounds. The analytical method is a mixed solvent extraction.",
50,AFCD,"Fat, total; continuous extraction",,"Fat, total; continuous extraction",g,,Fatty acid,"Fat, total; derived by analysis using continuous extraction.",
51,AFCD,Fat; mixed/unknown methods,,Fat; mixed/unknown methods,Not provided in unformatted AFCD,,Fatty acid,Fat method unknown or mixed,
52,AFCD,"Triglycerides, total",,"Triglycerides, total",g,,Fatty acid,"Triglycerides, total",
